Tempo (s);Carga (g);Posicao (mm)
1,184;35,3;23,9
1,197;35,7;23,9
1,197;35,7;23,9
1,197;35,7;23,9
1,21;36;23,9
1,21;36;23,9
1,21;36;23,9
1,223;36,4;23,9
1,223;36,4;23,9
1,223;36,4;23,9
1,235;36,7;23,8
1,235;36,7;23,8
1,235;36,7;23,8
1,248;37,1;23,8
1,248;37,1;23,8
1,248;37,1;23,8
1,261;37,5;23,8
1,261;37,5;23,8
1,261;37,5;23,8
1,274;37,8;23,8
1,274;37,8;23,8
1,274;37,8;23,8
1,286;38,2;23,8
1,286;38,2;23,8
1,286;38,2;23,8
1,3;38,6;23,8
1,3;38,6;23,8
1,3;38,6;23,8
1,312;39;23,8
1,312;39;23,8
1,312;39;23,8
1,325;39,4;23,8
1,325;39,4;23,8
1,325;39,4;23,8
1,339;39,9;23,7
1,339;39,9;23,7
1,339;39,9;23,7
1,351;40,3;23,7
1,351;40,3;23,7
1,351;40,3;23,7
1,364;40,7;23,7
1,364;40,7;23,7
1,364;40,7;23,7
1,376;41,1;23,7
1,376;41,1;23,7
1,376;41,1;23,7
1,39;41,6;23,7
1,39;41,6;23,7
1,39;41,6;23,7
1,402;42;23,7
1,402;42;23,7
1,402;42;23,7
1,415;42,5;23,7
1,415;42,5;23,7
1,415;42,5;23,7
1,428;42,9;23,7
1,428;42,9;23,7
1,428;42,9;23,7
1,441;43,3;23,6
1,441;43,3;23,6
1,441;43,3;23,6
1,453;43,8;23,6
1,453;43,8;23,6
1,453;43,8;23,6
1,467;44,2;23,6
1,467;44,2;23,6
1,467;44,2;23,6
1,48;44,6;23,6
1,48;44,6;23,6
1,48;44,6;23,6
1,493;45,1;23,6
1,493;45,1;23,6
1,493;45,1;23,6
1,506;45,5;23,6
1,506;45,5;23,6
1,506;45,5;23,6
1,519;45,9;23,6
1,519;45,9;23,6
1,519;45,9;23,6
1,531;46,3;23,6
1,531;46,3;23,6
1,531;46,3;23,6
1,544;46,8;23,5
1,544;46,8;23,5
1,544;46,8;23,5
1,557;47,2;23,5
1,557;47,2;23,5
1,557;47,2;23,5
1,569;47,7;23,5
1,569;47,7;23,5
1,569;47,7;23,5
1,582;48,1;23,5
1,582;48,1;23,5
1,582;48,1;23,5
1,595;48,6;23,5
1,595;48,6;23,5
1,595;48,6;23,5
1,608;49;23,5
1,608;49;23,5
1,608;49;23,5
1,621;49,5;23,5
1,621;49,5;23,5
1,621;49,5;23,5
1,635;49,9;23,5
1,635;49,9;23,5
1,635;49,9;23,5
1,647;50,4;23,4
1,647;50,4;23,4
1,647;50,4;23,4
1,66;50,8;23,4
1,66;50,8;23,4
1,66;50,8;23,4
1,672;51,3;23,4
