Tempo (s);Carga (g);Posicao (mm)
1,198;316,1;19,3
1,212;318,9;19,2
1,212;318,9;19,2
1,212;318,9;19,2
1,225;321,8;19,1
1,225;321,8;19,1
1,225;321,8;19,1
1,238;324,5;19,1
1,238;324,5;19,1
1,238;324,5;19,1
1,252;327,3;19
1,252;327,3;19
1,252;327,3;19
1,265;330;18,9
1,265;330;18,9
1,265;330;18,9
1,278;332,8;18,9
1,278;332,8;18,9
1,278;332,8;18,9
1,291;335,5;18,8
1,291;335,5;18,8
1,291;335,5;18,8
1,305;338,3;18,7
1,305;338,3;18,7
1,305;338,3;18,7
1,318;341;18,7
1,318;341;18,7
1,318;341;18,7
1,332;343,8;18,6
1,332;343,8;18,6
1,332;343,8;18,6
1,346;346,6;18,5
1,346;346,6;18,5
1,346;346,6;18,5
1,359;349,3;18,5
1,359;349,3;18,5
1,359;349,3;18,5
1,371;352;18,4
1,371;352;18,4
1,371;352;18,4
1,385;354,7;18,3
1,385;354,7;18,3
1,385;354,7;18,3
1,398;357,4;18,3
1,398;357,4;18,3
1,398;357,4;18,3
1,411;360;18,2
1,411;360;18,2
1,411;360;18,2
1,425;362,6;18,1
1,425;362,6;18,1
1,425;362,6;18,1
1,438;365,2;18,1
1,438;365,2;18,1
1,438;365,2;18,1
1,451;367,8;18
1,451;367,8;18
1,451;367,8;18
1,465;370,4;18
1,465;370,4;18
1,465;370,4;18
1,479;372,9;17,9
1,479;372,9;17,9
1,479;372,9;17,9
1,492;375,5;17,8
1,492;375,5;17,8
1,492;375,5;17,8
1,506;378;17,8
1,506;378;17,8
1,506;378;17,8
1,519;380,6;17,7
1,519;380,6;17,7
1,519;380,6;17,7
1,532;383,1;17,6
1,532;383,1;17,6
1,532;383,1;17,6
1,545;385,7;17,6
1,545;385,7;17,6
1,545;385,7;17,6
1,559;388,2;17,5
1,559;388,2;17,5
1,559;388,2;17,5
1,572;390,8;17,4
1,572;390,8;17,4
1,572;390,8;17,4
1,585;393,4;17,4
1,585;393,4;17,4
1,585;393,4;17,4
1,599;396;17,3
1,599;396;17,3
1,599;396;17,3
1,612;398,6;17,2
1,612;398,6;17,2
1,612;398,6;17,2
1,625;401,3;17,2
1,625;401,3;17,2
1,625;401,3;17,2
1,639;404;17,1
1,639;404;17,1
1,639;404;17,1
1,652;406,7;17
1,652;406,7;17
1,652;406,7;17
1,665;409,5;17
1,665;409,5;17
1,665;409,5;17
1,679;412,2;16,9
1,679;412,2;16,9
1,679;412,2;16,9
1,692;415;16,8
1,692;415;16,8
1,692;415;16,8
1,705;417,8;16,8
1,705;417,8;16,8
