Tempo (s);Carga (g);Posicao (mm)
0,002;7;30,1
0,002;7;30,1
0,002;7;30,1
0,015;8,8;30
0,015;8,8;30
0,015;8,8;30
0,029;11,1;30
0,029;11,1;30
0,029;11,1;30
0,044;13,9;29,9
0,044;13,9;29,9
0,044;13,9;29,9
0,057;17,3;29,8
0,057;17,3;29,8
0,057;17,3;29,8
0,071;21,3;29,8
0,071;21,3;29,8
0,071;21,3;29,8
0,086;25,9;29,7
0,086;25,9;29,7
0,086;25,9;29,7
0,099;31,3;29,6
0,099;31,3;29,6
0,099;31,3;29,6
0,113;37,3;29,6
0,113;37,3;29,6
0,113;37,3;29,6
0,128;44,1;29,5
0,128;44,1;29,5
0,128;44,1;29,5
0,141;51,5;29,4
0,141;51,5;29,4
0,141;51,5;29,4
0,155;59,5;29,4
0,155;59,5;29,4
0,155;59,5;29,4
0,17;68;29,3
0,17;68;29,3
0,17;68;29,3
0,184;77,1;29,2
0,184;77,1;29,2
0,184;77,1;29,2
0,197;86,6;29,1
0,197;86,6;29,1
0,197;86,6;29,1
0,212;96,4;29,1
0,212;96,4;29,1
0,212;96,4;29,1
0,226;106,6;29
0,226;106,6;29
0,226;106,6;29
0,239;116,9;28,9
0,239;116,9;28,9
0,239;116,9;28,9
0,254;127,2;28,9
0,254;127,2;28,9
0,254;127,2;28,9
0,268;137,6;28,8
0,268;137,6;28,8
0,268;137,6;28,8
0,281;147,8;28,7
0,281;147,8;28,7
0,281;147,8;28,7
0,296;157,8;28,7
0,296;157,8;28,7
0,296;157,8;28,7
0,31;167,5;28,6
0,31;167,5;28,6
0,31;167,5;28,6
0,324;177;28,5
0,324;177;28,5
0,324;177;28,5
0,338;186,1;28,5
0,338;186,1;28,5
0,338;186,1;28,5
0,352;194,8;28,4
0,352;194,8;28,4
0,352;194,8;28,4
0,366;203,2;28,3
0,366;203,2;28,3
0,366;203,2;28,3
0,38;211,3;28,2
0,38;211,3;28,2
0,38;211,3;28,2
0,394;219,2;28,2
0,394;219,2;28,2
0,394;219,2;28,2
0,408;226,7;28,1
0,408;226,7;28,1
0,408;226,7;28,1
0,422;234,1;28,1
0,422;234,1;28,1
0,422;234,1;28,1
0,436;241,2;28
0,436;241,2;28
0,436;241,2;28
0,45;248,1;27,9
0,45;248,1;27,9
0,45;248,1;27,9
0,465;254,9;27,8
0,465;254,9;27,8
0,465;254,9;27,8
0,478;261,5;27,8
0,478;261,5;27,8
0,478;261,5;27,8
0,492;268;27,7
0,492;268;27,7
0,492;268;27,7
0,507;274,3;27,6
0,507;274,3;27,6
0,507;274,3;27,6
0,52;280,5;27,6
0,52;280,5;27,6
