Tempo (s);Carga (g);Posicao (mm)
0,002;6,2;30,5
0,002;6,2;30,5
0,002;6,2;30,5
0,016;7,8;30,4
0,016;7,8;30,4
0,016;7,8;30,4
0,029;9,7;30,3
0,029;9,7;30,3
0,029;9,7;30,3
0,042;12;30,3
0,042;12;30,3
0,042;12;30,3
0,056;14,9;30,2
0,056;14,9;30,2
0,056;14,9;30,2
0,068;18,3;30,1
0,068;18,3;30,1
0,068;18,3;30,1
0,081;22,4;30,1
0,081;22,4;30,1
0,081;22,4;30,1
0,095;27,2;30
0,095;27,2;30
0,095;27,2;30
0,108;32,8;29,9
0,108;32,8;29,9
0,108;32,8;29,9
0,121;39;29,9
0,121;39;29,9
0,121;39;29,9
0,133;46;29,8
0,133;46;29,8
0,133;46;29,8
0,147;53,7;29,7
0,147;53,7;29,7
0,147;53,7;29,7
0,16;62,3;29,7
0,16;62,3;29,7
0,16;62,3;29,7
0,173;71,7;29,6
0,173;71,7;29,6
0,173;71,7;29,6
0,187;81,8;29,5
0,187;81,8;29,5
0,187;81,8;29,5
0,2;92,9;29,5
0,2;92,9;29,5
0,2;92,9;29,5
0,213;104,7;29,4
0,213;104,7;29,4
0,213;104,7;29,4
0,227;117,4;29,3
0,227;117,4;29,3
0,227;117,4;29,3
0,239;130,7;29,3
0,239;130,7;29,3
0,239;130,7;29,3
0,252;144,7;29,2
0,252;144,7;29,2
0,252;144,7;29,2
0,266;159,4;29,2
0,266;159,4;29,2
0,266;159,4;29,2
0,279;174,4;29,1
0,279;174,4;29,1
0,279;174,4;29,1
0,291;189,7;29
0,291;189,7;29
0,291;189,7;29
0,305;205,3;29
0,305;205,3;29
0,305;205,3;29
0,319;221,2;28,9
0,319;221,2;28,9
0,319;221,2;28,9
0,331;237,2;28,8
0,331;237,2;28,8
0,331;237,2;28,8
0,344;253,3;28,8
0,344;253,3;28,8
0,344;253,3;28,8
0,358;269,4;28,7
0,358;269,4;28,7
0,358;269,4;28,7
0,37;285,4;28,6
0,37;285,4;28,6
0,37;285,4;28,6
0,383;301,3;28,6
0,383;301,3;28,6
0,383;301,3;28,6
0,397;317;28,5
0,397;317;28,5
0,397;317;28,5
0,41;332,4;28,4
0,41;332,4;28,4
0,41;332,4;28,4
0,422;347,6;28,4
0,422;347,6;28,4
0,422;347,6;28,4
0,436;362,3;28,3
0,436;362,3;28,3
0,436;362,3;28,3
0,449;376,7;28,3
0,449;376,7;28,3
0,449;376,7;28,3
0,462;390,6;28,2
0,462;390,6;28,2
0,462;390,6;28,2
0,476;404;28,1
0,476;404;28,1
0,476;404;28,1
0,489;417,1;28,1
0,489;417,1;28,1
0,489;417,1;28,1
0,502;429,7;28
0,502;429,7;28
0,502;429,7;28
0,514;441,9;27,9
0,514;441,9;27,9
0,514;441,9;27,9
0,528;453,7;27,9
0,528;453,7;27,9
0,528;453,7;27,9
0,541;465,1;27,8
0,541;465,1;27,8
0,541;465,1;27,8
0,554;476,2;27,7
0,554;476,2;27,7
0,554;476,2;27,7
0,567;486,9;27,7
0,567;486,9;27,7
0,567;486,9;27,7
0,58;497,4;27,6
0,58;497,4;27,6
0,58;497,4;27,6
0,593;507,6;27,5
0,593;507,6;27,5
0,593;507,6;27,5
0,607;517,6;27,5
0,607;517,6;27,5
0,607;517,6;27,5
0,62;527,4;27,4
0,62;527,4;27,4
0,62;527,4;27,4
0,633;536,9;27,4
0,633;536,9;27,4
0,633;536,9;27,4
0,647;546,3;27,3
