Tempo (s);Carga (g);Posicao (mm)
0,002;8,6;29,1
0,002;8,6;29,1
0,002;8,6;29,1
0,015;10,9;29
0,015;10,9;29
0,015;10,9;29
0,028;13,6;28,9
0,028;13,6;28,9
0,028;13,6;28,9
0,043;16,8;28,9
0,043;16,8;28,9
0,043;16,8;28,9
0,056;20,8;28,8
0,056;20,8;28,8
0,056;20,8;28,8
0,07;25,5;28,7
0,07;25,5;28,7
0,07;25,5;28,7
0,084;31;28,6
0,084;31;28,6
0,084;31;28,6
0,098;37,4;28,6
0,098;37,4;28,6
0,098;37,4;28,6
0,111;44,7;28,5
0,111;44,7;28,5
0,111;44,7;28,5
0,126;52,9;28,4
0,126;52,9;28,4
0,126;52,9;28,4
0,139;62,1;28,4
0,139;62,1;28,4
0,139;62,1;28,4
0,153;72,3;28,3
0,153;72,3;28,3
0,153;72,3;28,3
0,166;83,4;28,2
0,166;83,4;28,2
0,166;83,4;28,2
0,181;95,6;28,2
0,181;95,6;28,2
0,181;95,6;28,2
0,194;108,8;28,1
0,194;108,8;28,1
0,194;108,8;28,1
0,208;122,9;28
0,208;122,9;28
0,208;122,9;28
0,222;137,9;28
0,222;137,9;28
0,222;137,9;28
0,236;153,5;27,9
0,236;153,5;27,9
0,236;153,5;27,9
0,25;169,7;27,8
0,25;169,7;27,8
0,25;169,7;27,8
0,264;186,4;27,8
0,264;186,4;27,8
0,264;186,4;27,8
0,278;203,4;27,7
0,278;203,4;27,7
0,278;203,4;27,7
0,292;220,5;27,6
0,292;220,5;27,6
0,292;220,5;27,6
0,306;237,8;27,6
0,306;237,8;27,6
0,306;237,8;27,6
0,32;254,9;27,5
0,32;254,9;27,5
0,32;254,9;27,5
0,334;271,9;27,4
0,334;271,9;27,4
0,334;271,9;27,4
0,348;288,8;27,3
0,348;288,8;27,3
0,348;288,8;27,3
0,362;305,3;27,3
0,362;305,3;27,3
0,362;305,3;27,3
0,375;321,5;27,2
0,375;321,5;27,2
0,375;321,5;27,2
0,39;337,4;27,1
0,39;337,4;27,1
0,39;337,4;27,1
0,404;352,7;27,1
0,404;352,7;27,1
0,404;352,7;27,1
0,417;367,6;27
0,417;367,6;27
0,417;367,6;27
0,432;382,1;26,9
0,432;382,1;26,9
0,432;382,1;26,9
0,446;396;26,9
0,446;396;26,9
0,446;396;26,9
0,459;409,4;26,8
0,459;409,4;26,8
0,459;409,4;26,8
0,474;422,5;26,7
0,474;422,5;26,7
0,474;422,5;26,7
0,487;435,1;26,7
0,487;435,1;26,7
0,487;435,1;26,7
0,501;447,4;26,6
0,501;447,4;26,6
0,501;447,4;26,6
0,516;459,3;26,5
0,516;459,3;26,5
0,516;459,3;26,5
0,529;470,9;26,5
0,529;470,9;26,5
0,529;470,9;26,5
0,543;482,2;26,4
0,543;482,2;26,4
0,543;482,2;26,4
0,558;493,2;26,3
0,558;493,2;26,3
0,558;493,2;26,3
0,571;504;26,2
0,571;504;26,2
0,571;504;26,2
0,585;514,5;26,2
0,585;514,5;26,2
0,585;514,5;26,2
0,6;524,9;26,1
0,6;524,9;26,1
0,6;524,9;26,1
0,613;535,1;26
0,613;535,1;26
0,613;535,1;26
0,627;545,1;26
0,627;545,1;26
0,627;545,1;26
0,641;555,1;25,9
0,641;555,1;25,9
0,641;555,1;25,9
0,655;564,9;25,8
0,655;564,9;25,8
0,655;564,9;25,8
0,669;574,6;25,8
0,669;574,6;25,8
0,669;574,6;25,8
0,683;584,3;25,7
0,683;584,3;25,7
0,683;584,3;25,7
0,697;593,9;25,6
0,697;593,9;25,6
0,697;593,9;25,6
0,711;603,3;25,6
0,711;603,3;25,6
0,711;603,3;25,6
0,725;612,8;25,5
0,725;612,8;25,5
0,725;612,8;25,5
0,739;622,2;25,4
0,739;622,2;25,4
0,739;622,2;25,4
0,753;631,6;25,3
0,753;631,6;25,3
0,753;631,6;25,3
0,767;641,1;25,3
0,767;641,1;25,3
0,767;641,1;25,3
0,781;650,5;25,2
0,781;650,5;25,2
0,781;650,5;25,2
0,795;660;25,1
0,795;660;25,1
0,795;660;25,1
0,809;669,5;25,1
0,809;669,5;25,1
0,809;669,5;25,1
0,823;679,1;25
0,823;679,1;25
0,823;679,1;25
0,837;688,6;24,9
0,837;688,6;24,9
0,837;688,6;24,9
0,851;698,2;24,9
0,851;698,2;24,9
0,851;698,2;24,9
0,865;707,8;24,8
0,865;707,8;24,8
0,865;707,8;24,8
0,879;717,3;24,7
0,879;717,3;24,7
0,879;717,3;24,7
0,893;727;24,7
0,893;727;24,7
0,893;727;24,7
0,907;736,5;24,6
0,907;736,5;24,6
0,907;736,5;24,6
0,921;746,1;24,5
0,921;746,1;24,5
0,921;746,1;24,5
0,934;755,7;24,5
0,934;755,7;24,5
0,934;755,7;24,5
0,949;765,3;24,4
0,949;765,3;24,4
0,949;765,3;24,4
0,962;774,9;24,3
0,962;774,9;24,3
0,962;774,9;24,3
0,976;784,5;24,2
0,976;784,5;24,2
0,976;784,5;24,2
0,991;794,1;24,2
0,991;794,1;24,2
0,991;794,1;24,2
1,004;803,7;24,1
1,004;803,7;24,1
1,004;803,7;24,1
1,018;813,3;24
1,018;813,3;24
1,018;813,3;24
1,033;822,9;24
1,033;822,9;24
1,033;822,9;24
1,046;832,5;23,9
1,046;832,5;23,9
1,046;832,5;23,9
1,06;842,1;23,8
1,06;842,1;23,8
1,06;842,1;23,8
1,075;851,7;23,8
1,075;851,7;23,8
1,075;851,7;23,8
1,088;861,4;23,7
1,088;861,4;23,7
1,088;861,4;23,7
1,102;871;23,6
1,102;871;23,6
1,102;871;23,6
1,117;880,7;23,6
1,117;880,7;23,6
1,117;880,7;23,6
1,13;890,5;23,5
1,13;890,5;23,5
1,13;890,5;23,5
1,144;900,2;23,4
1,144;900,2;23,4
1,144;900,2;23,4
1,159;910,1;23,3
1,159;910,1;23,3
1,159;910,1;23,3
1,172;919,9;23,3
1,172;919,9;23,3
1,172;919,9;23,3
1,186;929,8;23,2
1,186;929,8;23,2
1,186;929,8;23,2
1,201;939,7;23,1
1,201;939,7;23,1
1,201;939,7;23,1
1,214;949,6;23,1
1,214;949,6;23,1
1,214;949,6;23,1
1,228;959,5;23
1,228;959,5;23
1,228;959,5;23
1,243;969,5;22,9
1,243;969,5;22,9
1,243;969,5;22,9
1,256;979,5;22,9
1,256;979,5;22,9
1,256;979,5;22,9
1,27;989,5;22,8
1,27;989,5;22,8
1,27;989,5;22,8
1,285;999,5;22,7
1,285;999,5;22,7
1,285;999,5;22,7
1,298;1009,5;22,6
1,298;1009,5;22,6
1,298;1009,5;22,6
1,312;1019,6;22,6
1,312;1019,6;22,6
1,312;1019,6;22,6
1,327;1029,6;22,5
1,327;1029,6;22,5
1,327;1029,6;22,5
1,34;1039,7;22,4
1,34;1039,7;22,4
1,34;1039,7;22,4
1,354;1049,7;22,4
1,354;1049,7;22,4
1,354;1049,7;22,4
1,369;1059,8;22,3
1,369;1059,8;22,3
1,369;1059,8;22,3
1,382;1069,8;22,2
1,382;1069,8;22,2
1,382;1069,8;22,2
1,396;1079,8;22,2
1,396;1079,8;22,2
1,396;1079,8;22,2
1,411;1089,8;22,1
1,411;1089,8;22,1
1,411;1089,8;22,1
1,424;1099,7;22
1,424;1099,7;22
1,424;1099,7;22
1,438;1109,6;22
1,438;1109,6;22
1,438;1109,6;22
1,453;1119,5;21,9
1,453;1119,5;21,9
1,453;1119,5;21,9
1,466;1129,3;21,8
1,466;1129,3;21,8
1,466;1129,3;21,8
1,48;1139,1;21,8
1,48;1139,1;21,8
1,48;1139,1;21,8
1,495;1148,9;21,7
1,495;1148,9;21,7
1,495;1148,9;21,7
1,509;1158,7;21,6
1,509;1158,7;21,6
1,509;1158,7;21,6
1,522;1168,4;21,5
1,522;1168,4;21,5
1,522;1168,4;21,5
1,537;1178,1;21,5
1,537;1178,1;21,5
1,537;1178,1;21,5
1,551;1187,9;21,4
1,551;1187,9;21,4
1,551;1187,9;21,4
1,564;1197,6;21,3
1,564;1197,6;21,3
1,564;1197,6;21,3
1,579;1207,3;21,3
1,579;1207,3;21,3
1,579;1207,3;21,3
1,593;1217;21,2
1,593;1217;21,2
1,593;1217;21,2
1,606;1226,7;21,1
1,606;1226,7;21,1
1,606;1226,7;21,1
1,621;1236,4;21,1
1,621;1236,4;21,1
1,621;1236,4;21,1
1,635;1246,1;21
1,635;1246,1;21
1,635;1246,1;21
1,649;1255,7;20,9
1,649;1255,7;20,9
1,649;1255,7;20,9
1,663;1265,4;20,9
1,663;1265,4;20,9
1,663;1265,4;20,9
1,677;1275;20,8
1,677;1275;20,8
1,677;1275;20,8
1,691;1284,5;20,7
1,691;1284,5;20,7
1,691;1284,5;20,7
1,705;1294;20,6
1,705;1294;20,6
1,705;1294;20,6
1,719;1303,5;20,6
1,719;1303,5;20,6
1,719;1303,5;20,6
1,733;1312,9;20,5
1,733;1312,9;20,5
1,733;1312,9;20,5
1,747;1322,3;20,4
1,747;1322,3;20,4
1,747;1322,3;20,4
1,761;1331,7;20,4
1,761;1331,7;20,4
1,761;1331,7;20,4
1,775;1341;20,3
1,775;1341;20,3
1,775;1341;20,3
1,789;1350,3;20,2
1,789;1350,3;20,2
1,789;1350,3;20,2
1,803;1359,6;20,2
1,803;1359,6;20,2
1,803;1359,6;20,2
1,817;1368,9;20,1
1,817;1368,9;20,1
1,817;1368,9;20,1
1,832;1378,1;20
1,832;1378,1;20
1,832;1378,1;20
1,845;1387,3;20
1,845;1387,3;20
1,845;1387,3;20
1,859;1396,4;19,9
1,859;1396,4;19,9
1,859;1396,4;19,9
1,874;1405,6;19,8
1,874;1405,6;19,8
1,874;1405,6;19,8
1,887;1414,8;19,7
1,887;1414,8;19,7
1,887;1414,8;19,7
1,901;1424;19,7
1,901;1424;19,7
1,901;1424;19,7
1,915;1433,2;19,6
1,915;1433,2;19,6
1,915;1433,2;19,6
1,929;1442,5;19,5
1,929;1442,5;19,5
1,929;1442,5;19,5
1,943;1451,7;19,5
1,943;1451,7;19,5
