Tempo (s);Carga (g);Posicao (mm)
0,002;6,2;30,4
0,002;6,2;30,4
0,002;6,2;30,4
0,002;6,2;30,4
0,002;6,2;30,4
0,002;6,2;30,4
0,014;7,9;30,4
0,014;7,9;30,4
0,014;7,9;30,4
0,014;7,9;30,4
0,014;7,9;30,4
0,014;7,9;30,4
0,027;9,9;30,3
0,027;9,9;30,3
0,027;9,9;30,3
0,027;9,9;30,3
0,027;9,9;30,3
0,027;9,9;30,3
0,041;12,4;30,2
0,041;12,4;30,2
0,041;12,4;30,2
0,041;12,4;30,2
0,041;12,4;30,2
0,041;12,4;30,2
0,054;15,4;30,2
0,054;15,4;30,2
0,054;15,4;30,2
0,054;15,4;30,2
0,054;15,4;30,2
0,054;15,4;30,2
0,067;19,1;30,1
0,067;19,1;30,1
0,067;19,1;30,1
0,067;19,1;30,1
0,067;19,1;30,1
0,067;19,1;30,1
0,08;23,3;30
0,08;23,3;30
0,08;23,3;30
0,08;23,3;30
0,08;23,3;30
0,08;23,3;30
0,093;28,2;30
0,093;28,2;30
0,093;28,2;30
0,093;28,2;30
0,093;28,2;30
0,093;28,2;30
0,106;33,9;29,9
0,106;33,9;29,9
0,106;33,9;29,9
0,106;33,9;29,9
0,106;33,9;29,9
0,106;33,9;29,9
0,119;40,2;29,8
0,119;40,2;29,8
0,119;40,2;29,8
0,119;40,2;29,8
0,119;40,2;29,8
0,119;40,2;29,8
0,133;47,4;29,8
0,133;47,4;29,8
0,133;47,4;29,8
0,133;47,4;29,8
0,133;47,4;29,8
0,133;47,4;29,8
0,146;55,4;29,7
0,146;55,4;29,7
0,146;55,4;29,7
0,146;55,4;29,7
0,146;55,4;29,7
0,146;55,4;29,7
0,159;64,2;29,6
0,159;64,2;29,6
0,159;64,2;29,6
0,159;64,2;29,6
0,159;64,2;29,6
0,159;64,2;29,6
0,173;73,9;29,6
0,173;73,9;29,6
0,173;73,9;29,6
0,173;73,9;29,6
0,173;73,9;29,6
0,173;73,9;29,6
0,185;84,4;29,5
0,185;84,4;29,5
0,185;84,4;29,5
0,185;84,4;29,5
0,185;84,4;29,5
0,185;84,4;29,5
0,198;95,8;29,5
0,198;95,8;29,5
0,198;95,8;29,5
0,198;95,8;29,5
0,198;95,8;29,5
0,198;95,8;29,5
0,212;108;29,4
0,212;108;29,4
0,212;108;29,4
0,212;108;29,4
0,212;108;29,4
0,212;108;29,4
0,225;121,1;29,3
0,225;121,1;29,3
0,225;121,1;29,3
0,225;121,1;29,3
0,225;121,1;29,3
0,225;121,1;29,3
0,238;134,8;29,3
0,238;134,8;29,3
0,238;134,8;29,3
0,238;134,8;29,3
0,238;134,8;29,3
0,238;134,8;29,3
0,251;149,1;29,2
0,251;149,1;29,2
0,251;149,1;29,2
0,251;149,1;29,2
0,251;149,1;29,2
0,251;149,1;29,2
0,264;163,9;29,1
0,264;163,9;29,1
0,264;163,9;29,1
0,264;163,9;29,1
0,264;163,9;29,1
0,264;163,9;29,1
0,277;179,1;29,1
0,277;179,1;29,1
0,277;179,1;29,1
0,277;179,1;29,1
0,277;179,1;29,1
0,277;179,1;29,1
0,29;194,8;29
0,29;194,8;29
0,29;194,8;29
0,29;194,8;29
0,29;194,8;29
0,29;194,8;29
0,304;210,7;28,9
0,304;210,7;28,9
0,304;210,7;28,9
0,304;210,7;28,9
0,304;210,7;28,9
0,304;210,7;28,9
0,317;226,8;28,9
0,317;226,8;28,9
0,317;226,8;28,9
0,317;226,8;28,9
