Tempo (s);Carga (g);Posicao (mm)
0,002;6,9;30,3
0,002;6,9;30,3
0,002;6,9;30,3
0,015;8,6;30,2
0,015;8,6;30,2
0,015;8,6;30,2
0,029;10,7;30,2
0,029;10,7;30,2
0,029;10,7;30,2
0,042;13,3;30,1
0,042;13,3;30,1
0,042;13,3;30,1
0,055;16,4;30
0,055;16,4;30
0,055;16,4;30
0,069;20,2;30
0,069;20,2;30
0,069;20,2;30
0,081;24,5;29,9
0,081;24,5;29,9
0,081;24,5;29,9
0,094;29,5;29,8
0,094;29,5;29,8
0,094;29,5;29,8
0,107;35,2;29,8
0,107;35,2;29,8
0,107;35,2;29,8
0,121;41,8;29,7
0,121;41,8;29,7
0,121;41,8;29,7
0,133;49,1;29,7
0,133;49,1;29,7
0,133;49,1;29,7
0,146;57,2;29,6
0,146;57,2;29,6
0,146;57,2;29,6
0,16;66,1;29,5
0,16;66,1;29,5
0,16;66,1;29,5
0,174;75,8;29,5
0,174;75,8;29,5
0,174;75,8;29,5
0,186;86,3;29,4
0,186;86,3;29,4
0,186;86,3;29,4
0,2;97,7;29,3
0,2;97,7;29,3
0,2;97,7;29,3
0,213;109,8;29,3
0,213;109,8;29,3
0,213;109,8;29,3
0,226;122,7;29,2
0,226;122,7;29,2
0,226;122,7;29,2
0,238;136,2;29,1
0,238;136,2;29,1
0,238;136,2;29,1
0,252;150,4;29,1
0,252;150,4;29,1
0,252;150,4;29,1
0,265;165,1;29
0,265;165,1;29
0,265;165,1;29
0,278;180,2;28,9
0,278;180,2;28,9
0,278;180,2;28,9
0,291;195,8;28,9
0,291;195,8;28,9
0,291;195,8;28,9
0,304;211,6;28,8
0,304;211,6;28,8
0,304;211,6;28,8
0,318;227,7;28,7
0,318;227,7;28,7
0,318;227,7;28,7
0,331;243,7;28,7
0,331;243,7;28,7
0,331;243,7;28,7
0,344;259,9;28,6
0,344;259,9;28,6
0,344;259,9;28,6
0,357;276;28,6
0,357;276;28,6
0,357;276;28,6
0,37;292,1;28,5
0,37;292,1;28,5
0,37;292,1;28,5
0,383;308,2;28,4
0,383;308,2;28,4
0,383;308,2;28,4
0,396;323,9;28,4
0,396;323,9;28,4
0,396;323,9;28,4
0,409;339,4;28,3
0,409;339,4;28,3
0,409;339,4;28,3
0,422;354,6;28,2
0,422;354,6;28,2
0,422;354,6;28,2
0,435;369,4;28,2
0,435;369,4;28,2
0,435;369,4;28,2
0,448;383,9;28,1
0,448;383,9;28,1
0,448;383,9;28,1
0,462;397,9;28
0,462;397,9;28
0,462;397,9;28
0,475;411,5;28
0,475;411,5;28
0,475;411,5;28
0,488;424,6;27,9
0,488;424,6;27,9
0,488;424,6;27,9
0,502;437,3;27,9
0,502;437,3;27,9
0,502;437,3;27,9
0,514;449,6;27,8
0,514;449,6;27,8
0,514;449,6;27,8
0,527;461,5;27,7
0,527;461,5;27,7
0,527;461,5;27,7
0,541;473;27,7
0,541;473;27,7
0,541;473;27,7
0,554;484,2;27,6
0,554;484,2;27,6
0,554;484,2;27,6
0,566;495,1;27,5
0,566;495,1;27,5
0,566;495,1;27,5
0,579;505,6;27,5
0,579;505,6;27,5
0,579;505,6;27,5
0,593;515,9;27,4
0,593;515,9;27,4
0,593;515,9;27,4
0,606;526;27,3
0,606;526;27,3
0,606;526;27,3
0,619;535,9;27,3
0,619;535,9;27,3
0,619;535,9;27,3
0,633;545,7;27,2
0,633;545,7;27,2
0,633;545,7;27,2
0,646;555,3;27,1
