Tempo (s);Carga (g);Posicao (mm)
1,279;580,1;23,9
1,279;580,1;23,9
1,279;580,1;23,9
1,294;586;23,9
1,294;586;23,9
1,294;586;23,9
1,307;591,8;23,8
1,307;591,8;23,8
1,307;591,8;23,8
1,321;597,7;23,7
1,321;597,7;23,7
1,321;597,7;23,7
1,336;603,6;23,6
1,336;603,6;23,6
1,336;603,6;23,6
1,349;609,6;23,6
1,349;609,6;23,6
1,349;609,6;23,6
1,363;615,6;23,5
1,363;615,6;23,5
1,363;615,6;23,5
1,378;621,7;23,4
1,378;621,7;23,4
1,378;621,7;23,4
1,392;627,8;23,4
1,392;627,8;23,4
1,392;627,8;23,4
1,405;634;23,3
1,405;634;23,3
1,405;634;23,3
1,419;640,2;23,2
1,419;640,2;23,2
1,419;640,2;23,2
1,434;646,4;23,2
1,434;646,4;23,2
1,434;646,4;23,2
1,447;652,6;23,1
1,447;652,6;23,1
1,447;652,6;23,1
1,461;658,8;23
1,461;658,8;23
1,461;658,8;23
1,476;665,1;23
1,476;665,1;23
1,476;665,1;23
1,49;671,3;22,9
1,49;671,3;22,9
1,49;671,3;22,9
1,503;677,5;22,8
1,503;677,5;22,8
1,503;677,5;22,8
1,518;683,8;22,7
1,518;683,8;22,7
1,518;683,8;22,7
1,532;690,1;22,7
1,532;690,1;22,7
1,532;690,1;22,7
1,546;696,4;22,6
1,546;696,4;22,6
1,546;696,4;22,6
1,56;702,6;22,6
1,56;702,6;22,6
1,56;702,6;22,6
1,574;708,9;22,5
1,574;708,9;22,5
1,574;708,9;22,5
1,588;715,2;22,4
1,588;715,2;22,4
1,588;715,2;22,4
1,602;721,4;22,3
1,602;721,4;22,3
1,602;721,4;22,3
1,616;727,7;22,3
1,616;727,7;22,3
1,616;727,7;22,3
1,63;733,9;22,2
1,63;733,9;22,2
1,63;733,9;22,2
1,645;740,2;22,1
1,645;740,2;22,1
1,645;740,2;22,1
1,658;746,5;22,1
1,658;746,5;22,1
1,658;746,5;22,1
1,672;752,7;22
1,672;752,7;22
1,672;752,7;22
1,687;759;21,9
1,687;759;21,9
1,687;759;21,9
1,7;765,3;21,9
1,7;765,3;21,9
1,7;765,3;21,9
1,714;771,6;21,8
1,714;771,6;21,8
1,714;771,6;21,8
1,729;777,9;21,7
1,729;777,9;21,7
1,729;777,9;21,7
1,743;784,3;21,7
1,743;784,3;21,7
1,743;784,3;21,7
1,756;790,6;21,6
1,756;790,6;21,6
1,756;790,6;21,6
1,771;797;21,5
1,771;797;21,5
1,771;797;21,5
1,785;803,4;21,5
1,785;803,4;21,5
1,785;803,4;21,5
1,799;809,9;21,4
1,799;809,9;21,4
1,799;809,9;21,4
1,813;816,3;21,3
1,813;816,3;21,3
1,813;816,3;21,3
1,827;822,7;21,3
1,827;822,7;21,3
1,827;822,7;21,3
1,841;829,1;21,2
1,841;829,1;21,2
1,841;829,1;21,2
1,855;835,6;21,1
1,855;835,6;21,1
1,855;835,6;21,1
1,869;842;21,1
1,869;842;21,1
1,869;842;21,1
1,883;848,4;21
1,883;848,4;21
1,883;848,4;21
1,898;854,9;20,9
1,898;854,9;20,9
1,898;854,9;20,9
1,911;861,4;20,9
1,911;861,4;20,9
1,911;861,4;20,9
1,925;867,9;20,8
1,925;867,9;20,8
1,925;867,9;20,8
1,94;874,4;20,7
1,94;874,4;20,7
1,94;874,4;20,7
1,953;880,9;20,7
1,953;880,9;20,7
1,953;880,9;20,7
1,967;887,3;20,6
1,967;887,3;20,6
1,967;887,3;20,6
1,982;893,7;20,5
1,982;893,7;20,5
1,982;893,7;20,5
1,996;900;20,4
1,996;900;20,4
1,996;900;20,4
2,009;906,4;20,4
2,009;906,4;20,4
2,009;906,4;20,4
2,024;912,7;20,3
2,024;912,7;20,3
2,024;912,7;20,3
2,038;918,9;20,2
2,038;918,9;20,2
2,038;918,9;20,2
2,052;925,2;20,2
2,052;925,2;20,2
2,052;925,2;20,2
2,066;931,5;20,1
2,066;931,5;20,1
2,066;931,5;20,1
2,08;937,8;20
2,08;937,8;20
2,08;937,8;20
2,094;944,1;20
2,094;944,1;20
2,094;944,1;20
2,109;950,4;19,9
2,109;950,4;19,9
2,109;950,4;19,9
2,122;956,8;19,8
2,122;956,8;19,8
2,122;956,8;19,8
2,136;963,1;19,8
2,136;963,1;19,8
2,136;963,1;19,8
2,151;969,5;19,7
2,151;969,5;19,7
2,151;969,5;19,7
2,165;976;19,6
2,165;976;19,6
2,165;976;19,6
2,178;982,4;19,6
2,178;982,4;19,6
2,178;982,4;19,6
2,193;988,9;19,5
2,193;988,9;19,5
2,193;988,9;19,5
2,207;995,4;19,4
2,207;995,4;19,4
2,207;995,4;19,4
2,221;1001,9;19,3
2,221;1001,9;19,3
2,221;1001,9;19,3
2,235;1008,4;19,3
2,235;1008,4;19,3
2,235;1008,4;19,3
2,249;1015;19,2
2,249;1015;19,2
2,249;1015;19,2
2,262;1021,6;19,1
2,262;1021,6;19,1
2,262;1021,6;19,1
2,277;1028,2;19,1
2,277;1028,2;19,1
2,277;1028,2;19,1
2,291;1034,9;19
2,291;1034,9;19
2,291;1034,9;19
2,304;1041,4;18,9
2,304;1041,4;18,9
2,304;1041,4;18,9
2,319;1048;18,9
2,319;1048;18,9
2,319;1048;18,9
2,332;1054,6;18,8
2,332;1054,6;18,8
2,332;1054,6;18,8
2,346;1061,1;18,7
2,346;1061,1;18,7
2,346;1061,1;18,7
2,36;1067,6;18,7
2,36;1067,6;18,7
2,36;1067,6;18,7
2,374;1074,1;18,6
2,374;1074,1;18,6
2,374;1074,1;18,6
2,388;1080,6;18,5
2,388;1080,6;18,5
2,388;1080,6;18,5
2,402;1087,1;18,5
2,402;1087,1;18,5
2,402;1087,1;18,5
2,416;1093,7;18,4
2,416;1093,7;18,4
2,416;1093,7;18,4
2,429;1100,2;18,3
2,429;1100,2;18,3
2,429;1100,2;18,3
2,443;1106,8;18,2
2,443;1106,8;18,2
2,443;1106,8;18,2
2,46;1113,4;18,2
2,46;1113,4;18,2
2,46;1113,4;18,2
2,473;1119,9;18,3
2,473;1119,9;18,3
2,473;1119,9;18,3
2,488;1126,2;18,3
2,488;1126,2;18,3
2,488;1126,2;18,3
2,502;1132,2;18,4
2,502;1132,2;18,4
2,502;1132,2;18,4
2,515;1137,9;18,5
2,515;1137,9;18,5
2,515;1137,9;18,5
2,53;1143,1;18,5
2,53;1143,1;18,5
2,53;1143,1;18,5
2,543;1147,8;18,6
2,543;1147,8;18,6
2,543;1147,8;18,6
2,557;1151,5;18,7
2,557;1151,5;18,7
2,557;1151,5;18,7
2,57;1154,4;18,7
2,57;1154,4;18,7
2,57;1154,4;18,7
2,585;1156,3;18,8
2,585;1156,3;18,8
2,585;1156,3;18,8
2,599;1157,3;18,9
2,599;1157,3;18,9
2,599;1157,3;18,9
2,612;1157,1;18,9
2,612;1157,1;18,9
2,612;1157,1;18,9
2,627;1156;19
2,627;1156;19
2,627;1156;19
2,64;1153,6;19,1
2,64;1153,6;19,1
2,64;1153,6;19,1
2,654;1150,2;19,1
2,654;1150,2;19,1
2,654;1150,2;19,1
2,669;1145,8;19,2
2,669;1145,8;19,2
2,669;1145,8;19,2
2,682;1140,3;19,3
2,682;1140,3;19,3
2,682;1140,3;19,3
2,696;1133,8;19,4
2,696;1133,8;19,4
2,696;1133,8;19,4
2,71;1126,6;19,4
2,71;1126,6;19,4
2,71;1126,6;19,4
2,724;1118,7;19,5
2,724;1118,7;19,5
2,724;1118,7;19,5
2,738;1110,1;19,6
2,738;1110,1;19,6
2,738;1110,1;19,6
2,752;1101;19,6
2,752;1101;19,6
2,752;1101;19,6
2,766;1091,5;19,7
