Tempo (s);Carga (g);Posicao (mm)
0,002;3,4;24,2
0,002;3,4;24,2
0,002;3,4;24,2
0,016;3,8;24,1
0,016;3,8;24,1
0,016;3,8;24,1
0,028;4,3;24,1
0,028;4,3;24,1
0,028;4,3;24,1
0,041;4,9;24
0,041;4,9;24
0,041;4,9;24
0,055;5,6;23,9
0,055;5,6;23,9
0,055;5,6;23,9
0,068;6,5;23,9
0,068;6,5;23,9
0,068;6,5;23,9
0,081;7,5;23,8
0,081;7,5;23,8
0,081;7,5;23,8
0,095;8,6;23,7
0,095;8,6;23,7
0,095;8,6;23,7
0,108;9,9;23,7
0,108;9,9;23,7
0,108;9,9;23,7
0,121;11,4;23,6
0,121;11,4;23,6
0,121;11,4;23,6
0,135;13,1;23,5
0,135;13,1;23,5
0,135;13,1;23,5
0,148;15;23,5
0,148;15;23,5
0,148;15;23,5
0,16;17;23,4
0,16;17;23,4
0,16;17;23,4
0,173;19,3;23,3
0,173;19,3;23,3
0,173;19,3;23,3
0,187;21,8;23,3
0,187;21,8;23,3
0,187;21,8;23,3
0,2;24,5;23,2
0,2;24,5;23,2
0,2;24,5;23,2
0,213;27,4;23,1
0,213;27,4;23,1
0,213;27,4;23,1
0,227;30,5;23,1
0,227;30,5;23,1
0,227;30,5;23,1
0,24;33,8;23
0,24;33,8;23
0,24;33,8;23
0,253;37,3;22,9
0,253;37,3;22,9
0,253;37,3;22,9
0,267;41;22,9
0,267;41;22,9
0,267;41;22,9
0,28;44,9;22,8
0,28;44,9;22,8
0,28;44,9;22,8
0,292;49;22,8
0,292;49;22,8
0,292;49;22,8
0,306;53,3;22,7
0,306;53,3;22,7
0,306;53,3;22,7
0,319;57,8;22,6
0,319;57,8;22,6
0,319;57,8;22,6
0,332;62,4;22,6
0,332;62,4;22,6
0,332;62,4;22,6
0,346;67,2;22,5
0,346;67,2;22,5
0,346;67,2;22,5
0,359;72,3;22,4
0,359;72,3;22,4
0,359;72,3;22,4
0,372;77,5;22,4
0,372;77,5;22,4
0,372;77,5;22,4
0,385;82,9;22,3
0,385;82,9;22,3
0,385;82,9;22,3
0,399;88,4;22,2
0,399;88,4;22,2
0,399;88,4;22,2
0,412;94,2;22,2
0,412;94,2;22,2
0,412;94,2;22,2
0,425;100,1;22,1
0,425;100,1;22,1
0,425;100,1;22,1
0,439;106,3;22
0,439;106,3;22
0,439;106,3;22
0,452;112,8;22
0,452;112,8;22
0,452;112,8;22
0,464;119,5;21,9
0,464;119,5;21,9
0,464;119,5;21,9
0,478;126,3;21,8
0,478;126,3;21,8
0,478;126,3;21,8
0,491;133,4;21,8
0,491;133,4;21,8
0,491;133,4;21,8
0,504;140,7;21,7
0,504;140,7;21,7
0,504;140,7;21,7
0,519;148,2;21,6
0,519;148,2;21,6
0,519;148,2;21,6
0,532;155,8;21,6
0,532;155,8;21,6
0,532;155,8;21,6
0,545;163,7;21,5
0,545;163,7;21,5
0,545;163,7;21,5
0,558;171,8;21,5
0,558;171,8;21,5
0,558;171,8;21,5
0,572;180,1;21,4
0,572;180,1;21,4
0,572;180,1;21,4
0,585;188,7;21,3
0,585;188,7;21,3
0,585;188,7;21,3
