Tempo (s);Carga (g);Posicao (mm)
1,186;266,2;18,5
1,198;270,7;18,4
1,198;270,7;18,4
1,198;270,7;18,4
1,212;275,2;18,3
1,212;275,2;18,3
1,212;275,2;18,3
1,225;279,7;18,3
1,225;279,7;18,3
1,225;279,7;18,3
1,238;284,2;18,2
1,238;284,2;18,2
1,238;284,2;18,2
1,252;288,6;18,1
1,252;288,6;18,1
1,252;288,6;18,1
1,264;293;18,1
1,264;293;18,1
1,264;293;18,1
1,277;297,4;18
1,277;297,4;18
1,277;297,4;18
1,29;301,8;17,9
1,29;301,8;17,9
1,29;301,8;17,9
1,304;306,1;17,9
1,304;306,1;17,9
1,304;306,1;17,9
1,317;310,4;17,8
1,317;310,4;17,8
1,317;310,4;17,8
1,33;314,7;17,7
1,33;314,7;17,7
1,33;314,7;17,7
1,344;318,9;17,7
1,344;318,9;17,7
1,344;318,9;17,7
1,357;323,1;17,6
1,357;323,1;17,6
1,357;323,1;17,6
1,369;327,2;17,6
1,369;327,2;17,6
1,369;327,2;17,6
1,383;331,4;17,5
1,383;331,4;17,5
1,383;331,4;17,5
1,396;335,6;17,4
1,396;335,6;17,4
1,396;335,6;17,4
1,409;339,8;17,4
1,409;339,8;17,4
1,409;339,8;17,4
1,423;343,9;17,3
1,423;343,9;17,3
1,423;343,9;17,3
1,435;348,1;17,2
1,435;348,1;17,2
1,435;348,1;17,2
1,448;352,3;17,2
1,448;352,3;17,2
1,448;352,3;17,2
1,461;356,5;17,1
1,461;356,5;17,1
1,461;356,5;17,1
1,476;360,7;17
1,476;360,7;17
1,476;360,7;17
1,488;364,9;17
1,488;364,9;17
1,488;364,9;17
1,501;369,2;16,9
1,501;369,2;16,9
1,501;369,2;16,9
1,515;373,4;16,8
1,515;373,4;16,8
1,515;373,4;16,8
1,528;377,6;16,8
1,528;377,6;16,8
1,528;377,6;16,8
1,541;381,8;16,7
1,541;381,8;16,7
1,541;381,8;16,7
1,554;386;16,6
1,554;386;16,6
1,554;386;16,6
1,567;390,1;16,6
1,567;390,1;16,6
1,567;390,1;16,6
1,58;394,3;16,5
1,58;394,3;16,5
1,58;394,3;16,5
1,594;398,5;16,4
1,594;398,5;16,4
1,594;398,5;16,4
1,606;402,6;16,4
1,606;402,6;16,4
1,606;402,6;16,4
1,62;406,7;16,3
1,62;406,7;16,3
1,62;406,7;16,3
1,634;410,9;16,2
1,634;410,9;16,2
1,634;410,9;16,2
1,647;415,1;16,2
1,647;415,1;16,2
1,647;415,1;16,2
1,659;419,2;16,1
1,659;419,2;16,1
1,659;419,2;16,1
1,672;423,4;16,1
1,672;423,4;16,1
1,672;423,4;16,1
1,686;427,6;16
1,686;427,6;16
1,686;427,6;16
1,699;431,8;15,9
1,699;431,8;15,9
1,699;431,8;15,9
1,712;436,1;15,9
1,712;436,1;15,9
1,712;436,1;15,9
1,725;440,3;15,8
1,725;440,3;15,8
1,725;440,3;15,8
1,738;444,6;15,7
1,738;444,6;15,7
1,738;444,6;15,7
1,751;448,9;15,7
1,751;448,9;15,7
1,751;448,9;15,7
1,766;453,3;15,6
1,766;453,3;15,6
1,766;453,3;15,6
1,778;457,6;15,5
1,778;457,6;15,5
1,778;457,6;15,5
1,791;462,1;15,5
1,791;462,1;15,5
1,791;462,1;15,5
1,805;466,5;15,4
1,805;466,5;15,4
1,805;466,5;15,4
1,818;471;15,3
1,818;471;15,3
