Tempo (s);Carga (g);Posicao (mm)
1,186;333,3;19,4
1,199;339,7;19,3
1,199;339,7;19,3
1,199;339,7;19,3
1,213;346,1;19,2
1,213;346,1;19,2
1,213;346,1;19,2
1,226;352,5;19,2
1,226;352,5;19,2
1,226;352,5;19,2
1,238;359;19,1
1,238;359;19,1
1,238;359;19,1
1,252;365,6;19
1,252;365,6;19
1,252;365,6;19
1,265;372,1;19
1,265;372,1;19
1,265;372,1;19
1,278;378,8;18,9
1,278;378,8;18,9
1,278;378,8;18,9
1,291;385,4;18,8
1,291;385,4;18,8
1,291;385,4;18,8
1,304;392,2;18,8
1,304;392,2;18,8
1,304;392,2;18,8
1,317;399;18,7
1,317;399;18,7
1,317;399;18,7
1,331;405,9;18,6
1,331;405,9;18,6
1,331;405,9;18,6
1,344;412,8;18,6
1,344;412,8;18,6
1,344;412,8;18,6
1,357;419,8;18,5
1,357;419,8;18,5
1,357;419,8;18,5
1,37;426,9;18,4
1,37;426,9;18,4
1,37;426,9;18,4
1,384;434;18,4
1,384;434;18,4
1,384;434;18,4
1,397;441,1;18,3
1,397;441,1;18,3
1,397;441,1;18,3
1,409;448,4;18,3
1,409;448,4;18,3
1,409;448,4;18,3
1,423;455,6;18,2
1,423;455,6;18,2
1,423;455,6;18,2
1,436;462,8;18,1
1,436;462,8;18,1
1,436;462,8;18,1
1,449;470,1;18,1
1,449;470,1;18,1
1,449;470,1;18,1
1,462;477,4;18
1,462;477,4;18
1,462;477,4;18
1,476;484,8;17,9
1,476;484,8;17,9
1,476;484,8;17,9
1,489;492,1;17,9
1,489;492,1;17,9
1,489;492,1;17,9
1,502;499,6;17,8
1,502;499,6;17,8
1,502;499,6;17,8
1,516;507;17,7
1,516;507;17,7
1,516;507;17,7
1,528;514,6;17,7
1,528;514,6;17,7
1,528;514,6;17,7
1,541;522,1;17,6
1,541;522,1;17,6
1,541;522,1;17,6
1,555;529,7;17,5
1,555;529,7;17,5
1,555;529,7;17,5
1,568;537,4;17,5
1,568;537,4;17,5
1,568;537,4;17,5
1,581;545,1;17,4
1,581;545,1;17,4
1,581;545,1;17,4
1,594;552,9;17,3
1,594;552,9;17,3
1,594;552,9;17,3
1,607;560,7;17,3
1,607;560,7;17,3
1,607;560,7;17,3
1,621;568,6;17,2
1,621;568,6;17,2
1,621;568,6;17,2
1,635;576,6;17,1
1,635;576,6;17,1
1,635;576,6;17,1
1,647;584,6;17,1
1,647;584,6;17,1
1,647;584,6;17,1
1,66;592,8;17
1,66;592,8;17
1,66;592,8;17
1,673;601;17
1,673;601;17
1,673;601;17
1,687;609,4;16,9
1,687;609,4;16,9
1,687;609,4;16,9
1,7;617,7;16,8
1,7;617,7;16,8
1,7;617,7;16,8
1,712;626,1;16,8
1,712;626,1;16,8
1,712;626,1;16,8
1,726;634,6;16,7
1,726;634,6;16,7
1,726;634,6;16,7
1,739;643;16,6
1,739;643;16,6
1,739;643;16,6
1,752;651,6;16,6
1,752;651,6;16,6
1,752;651,6;16,6
1,766;660,2;16,5
1,766;660,2;16,5
1,766;660,2;16,5
1,779;668,8;16,4
1,779;668,8;16,4
1,779;668,8;16,4
1,792;677,5;16,4
1,792;677,5;16,4
